player,board1,board2,action
2,3731087339913,665876974706,2
2,105226698752,1374389534720,4
1,105226698752,1924145348608,4
2,109521666048,1924145348608,2
1,78383153152,1271310319616,3
2,353261060096,1271310319616,3
1,353261060096,1273457803264,2
2,353269448704,1273457803264,3
1,353269448704,1273474580480,3
2,353269579776,1273474580480,2
1,353269579776,1273474646016,1
2,353806450688,1273474646016,1
1,353806450688,1273478840320,0
2,354074886144,1273478840320,2
1,354074886144,1273478840832,5
2,354141995008,1273478840832,5
1,354141995008,1273479365120,5
2,354141999104,1273479365120,4
1,354141999104,1823235179008,3
2,354142000128,1823235179008,4
2,893890068480,2237677961216,2
1,893890068480,2375116914688,4
2,893923622912,2375116914688,2
1,893923622912,2376190656512,3
2,896071106560,2376190656512,3
1,896071106560,2376207433728,2
2,896079495168,2376207433728,3
1,896079495168,2376207564800,3
2,896079496192,2376207564800,0
1,896079496192,2376476000256,2
2,896079561728,2376476000256,2
1,896079561728,2376476000768,0
2,896081658880,2376476000768,4
1,896081658880,2376476262912,3
2,896081658888,2376476262912,5
1,896081658888,3475987890688,0
2,896081675272,3475987890688,6
1,896081675272,3493167759872,4
2,896081677320,3493167759872,4
1,896081677320,3493167759888,6
2,896215895048,3493167759888,6
1,896215895048,3493168808464,6
2,896215903240,3493168808464,0
1,896215903240,3493168808592,5
2,904805837832,3493168808592,2
1,904805837832,3493168808596,0
2,904805837833,3493168808596,6
1,904805837833,3493168808660,1
2,904810032137,3493168808660,1
1,904810032137,3493168841428,1
2,904810032393,3493168841428,1
1,904810032393,3493168841430,5
2,904877141257,3493168841430,5
2,1168231104512,34359738368,1
1,1168231104512,34896609280,4
2,1717986918400,34896609280,3
1,1717986918400,309774516224,3
2,1720134402048,309774516224,5
1,1720134402048,318364450816,3
2,1720151179264,318364450816,3
1,1720151179264,318364581888,6
2,3919174434816,318364581888,5
1,3919174434816,318431690752,5
2,3919174959104,318431690752,0
1,3919174959104,318700126208,2
2,4056613912576,318700126208,1
1,4056613912576,318704320512,1
2,4056613945344,318704320512,6
1,4056613945344,335884189696,4
2,4060908912640,335884189696,4
1,4060908912640,335917744128,4
2,4060909174784,335917744128,6
1,4060909174784,336051961856,2
1,34628173824,68721573888,4
2,584383987712,68721573888,5
1,584383987712,1168233201664,4
2,588678955008,1168233201664,4
1,588678955008,1168266756096,5
2,597268889600,1168266756096,1
1,597268889600,1168803627008,1
2,597273083904,1168803627008,0
1,597273083904,1168803643392,4
2,597273346048,1168803643392,1
1,597273346048,1168803676160,0
2,597273346176,1168803676160,5
1,597273346176,1168870785024,6
2,2796296601728,1168870785024,5
1,2796296601728,1168871309312,6
2,2813476470912,1168871309312,2
1,2813476470912,1306310262784,5
2,2813476475008,1306310262784,6
1,2813476475008,1306444480512,2
2,2814550216832,1306444480512,0
1,2814550216832,1306444480513,1
2,2814550217088,1306444480513,2
1,2814550217088,1306452869121,2
2,2814550282624,1306452869121,6
1,2814550282624,1306453917697,6
2,2814550290816,1306453917697,5
1,2814550290816,1306453917729,4
2,2814550292864,1306453917729,4
1,2814550292864,1306453917745,1
2,2814550292866,1306453917745,2
1,2814550292866,1306453918257,2
2,2814550292870,1306453918257,6
1,2814550292870,1306453918321,3
2,3089428199814,1306453918321,3
2,2645699854336,71135395840,4
1,2645699854336,620891209728,2
2,2646773596160,620891209728,2
1,2646773596160,620899598336,4
2,2651068563456,620899598336,2
1,2651068563456,620899663872,4
2,2651102117888,620899663872,1
1,2651102117888,621436534784,2
2,2651102118400,621436534784,3
1,2651102118400,621453312000,0
2,2651104215552,621453312000,3
1,2651104215552,621453443072,3
2,2651104216576,621453443072,0
1,2651104216576,621453459456,5
2,3750615844352,621453459456,3
1,3750615844352,621453459464,6
2,3767795713536,621453459464,0
1,3767795713536,621453459592,5
2,3776385648128,621453459592,5
1,3776385648128,621520568456,5
2,3776386172416,621520568456,5
1,3776386172416,621520572552,0
2,3776386172417,621520572552,6
1,3776386172417,621654790280,5
2,3776386172449,621654790280,6
1,3776386172449,621655838856,1
2,3776390366753,621655838856,1
1,3368328101888,700079669248,6
2,3385507971072,700079669248,5
1,3385507971072,700146778112,4
2,3385541525504,700146778112,4
1,3385541525504,700147040256,2
2,3385549914112,700147040256,2
1,3385549914112,700147105792,1
2,3386086785024,700147105792,1
1,3386086785024,700151300096,1
2,3386086817792,700151300096,6
1,3386086817792,700285517824,5
2,3386087342080,700285517824,1
1,3386087342080,700285518080,6
2,3386088390656,700285518080,3
1,3386088390656,975163425024,4
2,3386088392704,975163425024,5
1,3386088392704,975163429120,4
2,3386088392720,975163429120,3
1,3386088392720,977310912768,3
2,3386105169936,977310912768,3
1,3386105169936,977311043840,3
2,3386105170960,977311043840,3
1,3386105170960,977311043848,1
2,3386105170962,977311043848,0
1,3386105170962,1011670782216,0
2,3386373606418,1011670782216,0
1,3386373606418,1011672879368,0
2,3386373622802,1011672879368,0
1,3386373622802,1011672879496,0
2,3386373622803,1011672879496,2
1,3386373622803,1011672880008,2
2,3386373622807,1011672880008,5
1,3386373622807,1011672880040,6
2,3386373630999,1011672880040,6
2,549755813888,0,2
1,549755813888,137438953472,4
2,554050781184,137438953472,3
1,554050781184,412316860416,3
2,556198264832,412316860416,2
1,556198264832,413390602240,2
2,556206653440,413390602240,3
1,556206653440,413407379456,1
2,624926130176,413407379456,3
1,624926130176,413407510528,6
2,2823949385728,413407510528,4
1,2823949385728,413441064960,3
2,2823949386752,413441064960,6
1,2823949386752,430620934144,4
2,2823949648896,430620934144,6
1,2823949648896,430755151872,1
2,2824486519808,430755151872,2
1,2824486519808,430755217408,2
2,2824486520320,430755217408,4
1,2824486520320,430755219456,2
2,2824486520324,430755219456,4
1,2824486520324,430755219472,0
2,2858846258692,430755219472,0
1,2858846258692,431023654928,3
2,2858846258700,431023654928,5
1,2858846258700,1530535282704,6
2,2858847307276,1530535282704,0
1,2858847307276,1530537379856,0
2,2858847323660,1530537379856,0
1,2858847323660,1530537379984,0
2,2858847323661,1530537379984,6
1,2858847323661,1530537388176,1
2,2858851517965,1530537388176,1
1,2858851517965,1530537420944,1
2,2858851518221,1530537420944,1
1,2858851518221,1530537420946,6
2,2858851518285,1530537420946,5
1,2858851518285,1539127355538,5
2,1168767975424,2748779069440,4
1,1168767975424,2753074036736,6
2,1185947844608,2753074036736,6
1,1185947844608,2753208254464,4
2,1185981399040,2753208254464,1
1,1185981399040,2753212448768,4
2,1185981661184,2753212448768,6
1,1185981661184,2753213497344,3
2,1460859568128,2753213497344,4
1,1460859568128,2753213499392,0
2,1495219306496,2753213499392,2
1,1495219306496,2890652452864,3
2,1497366790144,2890652452864,2
1,1497366790144,2891726194688,6
2,1497366798336,2891726194688,3
1,1497366798336,2891742971904,1
2,1497366831104,2891742971904,3
1,1497366831104,2891743102976,3
2,1497366832128,2891743102976,2
1,1497366832128,2891751491584,2
2,1497366897664,2891751491584,0
1,1497366897664,2892019927040,0
2,1497368994816,2892019927040,1
1,1497368994816,2892019927296,5
2,1505958929408,2892019927296,2
1,1505958929408,2892019927808,5
2,1271318708224,550829621248,4
1,1271318708224,555124588544,4
2,1271352262656,555124588544,1
1,1271352262656,623844065280,5
2,1279942197248,623844065280,1
1,1279942197248,624380936192,0
2,1280210632704,624380936192,4
1,1280210632704,624381198336,6
2,3479233888256,624381198336,3
1,3479233888256,899259105280,3
2,3481381371904,899259105280,3
2,842350460928,2405181685760,2
1,842350460928,2406255427584,4
2,846645428224,2406255427584,4
1,846645428224,2406288982016,2
2,846653816832,2406288982016,4
1,846653816832,2406289244160,2
2,846653882368,2406289244160,5
1,846653882368,3505800871936,5
2,855243816960,3505800871936,3
1,855243816960,3507948355584,3
2,855260594176,3507948355584,3
1,855260594176,3507948486656,4
2,855260596224,3507948486656,1
1,855260596224,3507952680960,3
2,855260597248,3507952680960,2
1,855260597248,3507952681472,3
2,855260597256,3507952681472,6
1,855260597256,3508086899200,6
2,855261645832,3508086899200,5
1,855261645832,3508154008064,5
2,855262170120,3508154008064,4
1,855262170120,3508154008080,0
2,889621908488,3508154008080,6
1,889621908488,3508154016272,5
2,889621912584,3508154016272,2
1,889621912584,3508154016276,0
2,889890348040,3508154016276,0
1,889890348040,3508156113428,5
2,889890348072,3508156113428,6
1,889890348072,3508156113492,0
2,889890364456,3508156113492,0
1,889890364456,3508156113620,0
2,889890364457,3508156113620,1
1,889890364457,3508156146388,1
2,343597383680,137438953472,3
1,343597383680,139586437120,1
2,344134254592,139586437120,1
1,344134254592,139590631424,3
2,344151031808,139590631424,1
1,344151031808,139590664192,5
2,1443662659584,139590664192,4
1,1443662659584,689346478080,3
2,1443662790656,689346478080,4
1,1443662790656,693641445376,5
2,1452252725248,693641445376,5
1,1452252725248,693708554240,4
2,1452286279680,693708554240,6
1,1452286279680,2892731809792,4
2,1452286541824,2892731809792,2
1,1452286541824,2893805551616,2
2,1452294930432,2893805551616,2
1,1452294930432,2893805617152,0
2,3401614098432,155692564480,1
1,3401614098432,156229435392,0
2,3401882533888,156229435392,3
1,3401882533888,431107342336,2
2,3401890922496,431107342336,1
1,3401890922496,431111536640,3
2,3404038406144,431111536640,1
1,3404038406144,431111569408,1
2,3404038406400,431111569408,6
1,3404038406400,431245787136,6
2,3404039454976,431245787136,5
1,3404039454976,439835721728,5
2,3404106563840,439835721728,2
1,3404106563840,439835787264,3
2,3404123341056,439835787264,3
1,3404123341056,439835918336,2
2,3404123341568,439835918336,1
1,3404123341568,439835918338,6
2,3404123349760,439835918338,3
1,3404123349760,439835919362,2
2,3404123349764,439835919362,3
1,3404123349764,439835919370,4
2,3953879163652,439835919370,5
1,3953879163652,439836443658,6
2,3953879163716,439836443658,0
1,3953879163716,439838540810,0
2,3953879180100,439838540810,0
1,3953879180100,439838540938,0
2,3953879180101,439838540938,5
1,3953879180101,439838545034,5
2,3953879180133,439838545034,4
1,3953879180133,444133512330,4
2,2233651445760,343599480832,1
1,2233651445760,344136351744,1
2,2233655640064,344136351744,3
1,2233655640064,346283835392,2
2,2371094593536,346283835392,1
1,2371094593536,346283868160,3
2,2371111370752,346283868160,3
1,2371111370752,346283999232,4
2,2920867184640,346283999232,0
1,2920867184640,346283999360,4
2,2925162151936,346283999360,4
1,2925162151936,346317553792,1
2,2925162152192,346317553792,4
1,2925162152192,346317815936,3
2,2925162153216,346317815936,2
1,2925162153216,347391557760,0
2,2925162153217,347391557760,2
2,3453153705984,585189294080,0
1,3453153705984,585457729536,4
2,3457448673280,585457729536,2
1,3457448673280,585466118144,5
2,3466038607872,585466118144,6
1,3466038607872,585600335872,3
2,3740916514816,585600335872,3
1,3740916514816,587747819520,5
2,3740983623680,587747819520,5
1,3740983623680,587748343808,6
1,0,0,3
2,274877906944,0,4
1,274877906944,549755813888,3
2,277025390592,549755813888,3
1,277025390592,549772591104,3
2,277025521664,549772591104,1
1,277025521664,618492067840,6
2,2476048777216,618492067840,1
1,2476048777216,619028938752,1
2,2476052971520,619028938752,4
1,2476052971520,623323906048,4
2,2476086525952,623323906048,2
1,2476086525952,760762859520,4
2,2476086788096,760762859520,2
1,2476086788096,761836601344,6
2,2493266657280,761836601344,1
1,2493266657280,761836634112,3
2,2493266658304,761836634112,2
1,2493266658304,761845022720,2
2,2493266723840,761845022720,2
1,2493266723840,761845023232,3
2,2493266723848,761845023232,0
1,2493266723848,796204761600,0
1,34359738368,68719476736,3
2,309237645312,68719476736,5
1,309237645312,1168231104512,3
2,311385128960,1168231104512,5
1,311385128960,1176821039104,5
2,311452237824,1176821039104,3
1,311452237824,1176837816320,3
2,311452368896,1176837816320,1
1,311452368896,1177374687232,1
2,311456563200,1177374687232,1
1,311456563200,1177374720000,5
2,311457087488,1177374720000,5
1,311457087488,1177374724096,1
2,311457087744,1177374724096,2
1,311457087744,1314813677568,2
2,312530829568,1314813677568,3
1,312530829568,1314813678592,4
2,862286643456,1314813678592,4
1,862286643456,1319108645888,5
2,862286643488,1319108645888,4
1,862286643488,1319142200320,4
2,862286905632,1319142200320,4
1,862286905632,1319142202368,0
2,862555341088,1319142202368,4
1,862555341088,1319142202384,1
2,862555341090,1319142202384,6
1,862555341090,3518165457936,0
2,862557438242,3518165457936,0
1,862557438242,3518165474320,0
2,862557438370,3518165474320,0
1,862557438370,3518165474321,2
2,862565826978,3518165474321,2
2,549755813888,0,3
1,549755813888,274877906944,4
2,554050781184,274877906944,3
1,554050781184,277025390592,3
2,554067558400,277025390592,4
1,554067558400,277058945024,3
2,554067689472,277058945024,3
1,554067689472,277058946048,2
2,691506642944,277058946048,4
1,691506642944,277059208192,4
2,691506644992,277059208192,5
1,691506644992,1376570835968,3
2,691506645000,1376570835968,6
